"id","blog_content_id","no","name","content","detail","blog_category_id","user_id","status","posts_date","content_draft","detail_draft","publish_begin","publish_end","exclude_search","eye_catch","created","modified"
"8","1","1","ZENデザイン","<p>ZENとは禅に由来した造語で無駄のない機能的で美しいデザインを意味します。<br />
シンプルさを際立てたZENデザインはマイナスのデザインではたどり着けませんでした。</p>","<p>2005年ごろからWebにおいてマイナスのデザインが注目されはじめました。<br />
余計な要素を追加していくのではなく、不要な要素を削って必要な情報を残す、それがマイナスのデザインです。</p>

<p>マイナスのデザインによってページはシンプルになり、美しいデザインが実現されるはずでした。<br />
しかし、すぐに問題に直面しました。</p>

<p>Webの8割は不要なものでできていて、それを削るのには多くの時間を要しました。<br />
しかも、多くの時間を使って削りきった後に残るのは、ちぐはぐになったコンテンツでした。<br />
それらのコンテンツをつなぎ合わせるために様々な仕組みが追加されサイトは更に複雑になっていきました。</p>

<h1>ZENデザイン</h1>

<p>ZENデザインでは既にあるコンテンツから不要なものを消すのではなく、最初に全てを捨てゼロから本当に必要な物を1つずつ慎重に選んでプラスします。</p>

<p>8割を削るより2割を作り出すほうがずっと容易なのです。</p>","2","1","1","2015-08-12 23:30:00","","","","","","2015/09/00000001_eye_catch.jpg","2015-08-12 13:49:50","2015-09-01 19:36:38"
"9","1","2","要らないもの","<p>今までのWebサイトには不要なものがたくさんありました。</p>","<p>サイトには様々なものが棲んでいました。</p>

<p>なんのために作ったかわからない無数のdivタグ<br />
誰も削ることが許されない数千行に及ぶスタイルシート<br />
どこで使われているのかわからないJavaScritp<br />
ユーザーの時間を浪費するだけの何も伝えないアニメーション<br />
誰も訪れたことがないサイトマップ<br />
10年前の社長あいさつ・・・</p>

<p>要らないものがあることは分かっていても、削るとどこに影響が及ぶのかわかりません、</p>","2","1","1","2015-08-12 23:00:00","","","","","","2015/08/00000002_eye_catch.jpg","2015-08-12 14:23:03","2015-08-17 03:09:02"
"10","1","3","必要なもの","<p>必要だけれど欠けているものもたくさんありました。</p>","<p>使いやすいレスポンシブデザイン。<br />
ユーザーを満足させるSEO対策。<br />
ソーシャルメディアへの対応。<br />
Retina対応。<br />
シンプルな操作性。</p>

<p>従来これらは、既存のサイトにそれぞれ別々の機能を追加して実現されていたため、ページが複雑化し相反する要素で妥協を強いられることも少なくありませんでした。</p>

<p>SStyleでは最初から必要機能はなにかを検討した上で、コンセプトSとしてゼロからサイト開発を始めました。</p>","2","1","1","2015-08-12 22:30:00","","","","","","2015/09/00000003_eye_catch.jpg","2015-08-12 14:29:26","2015-09-01 19:47:05"
"11","1","4","Start","<p>一番最初に始めたことは正しいHTMLを作ることでした。</p>","<p>HTMLには本来それ単体で意味を伝えて、レスポンシブに振る舞う力があります。<br />
世の中のすべてのブラウザはHTMLを解釈してそれを環境に最適に表示する機能を持っています。<br />
&nbsp;</p>

<p>SStyleではHTMLはサイトの最も重要な背骨であると考えています。</p>

<p>正しいHTML,それは文書構造が正しく記載された、エラーのないHTMLです。<br />
本来エラーがないことは当たり前のことですが、現実には多くのWebサイトでHTMLのエラーが放置されています。<br />
エラーのあるサイトも一見すると正しく見えるのですが、思いもよらない問題を引き起こすことがあります。<br/>
それを隠すためにCSSやJavaScriptで取り繕うと、サイトの構造は迷宮のように複雑になってしまうのです。</p>

<p>SStyleではCSSを開発する前に徹底的に正しいHTMLを書き出すことにこだわりました。<br />
もちろんすべてのページでHTML5のValidationをクリアしていますが、それだけではありません。</p>

<p>ぜひ、スタイルシートを無効にしてWebサイトを見てください。</p>

<p>HTMLが正しい文書構造になっているのでスタイルシートによる装飾がなくとも、ブラウザは正しい文書構造を保ちユーザーに意味を伝えることが可能です。</p>

<p>このことは新しいブラウザやデバイスが登場してもページとしての価値を失わないということを意味します。<br />
また、マイナーなブラウザーや機能が不足したブラウザーでも正しく意味を伝えることが出来ます。</p>

<p>検索エンジンクローラー等のプログラムもHTMLからサイトの構造を解釈できるようになります。</p>","3","1","1","2015-08-12 22:00:00","","","","","","2015/09/00000004_eye_catch.png","2015-08-12 14:54:44","2015-09-01 19:54:55"
"12","1","5","Smat Phone","<p>SStyleはモバイルファーストの考えで作られています。<br />
しかし、Media QueryやJava Scriptなどの特別な機能は使っていません。</p>","<p>Media QueryもJava Scriptも使わずにどうやってWebサイトをスマートフォンに最適化させるのでしょうか？特別な魔法があるのでしょうか？</p>

<h1>HTMLのチカラ</h1>

<p>正解は「何もしない」それだけです。</p>

<p>HTMLはもともとレスポンシブです。</p>

<p>HTMLの仕様は特定のデバイスやブラウザを想定することなく作られています。<br />
そして、ブラウザはHTMLをデバイスに最適な状態で表示する機能を備えています。</p>

<p>Webがレスポンシブでなくなるのは、CSSやTableタグで特定の環境に依存した機能を追加した時です。</p>

<p>本来正しいHTMLを書いたら、「余計なことを何もしない」それでレスポンシブなサイトは完成します。<br />
SStyleではゼロから開発する上で特定の環境に依存しないよう慎重に機能を選びました。</p>

<p>iPhoneでもAndroidでもPCでもTVでも同じURLですべて同じコンテンツを見ることが出来ます。<br />
特定の環境で何かが削られたり、見た目が大幅に変わったりすることはありません。</p>

<p>特定の端末に最適化したデザインをしないことで、すべての端末に最適化させました。</p>","3","1","1","2015-08-12 21:30:00","","","","","","2015/08/00000005_eye_catch.jpg","2015-08-12 15:03:07","2015-08-17 04:41:51"
"13","1","6","SEO","<p>SEOに求められるのは検索エンジンの表示順だけではありません。<br />
訪問者の満足度が上がるSEOを目指しました。</p>","<p>SEOというと検索エンジンの上位にいかに表示されるかばかりが注目されています。<br />
しかしSStyleの考えるSEOはそれだけではありません。</p>

<h1>直帰率を上げる</h1>

<p>直帰率とは訪問者が訪れたページから別のページに移ることなくページを閉じてしまう割合です。<br />
従来直帰率は低ければ低いほどいいとされていました。しかしSStyleは逆の考えです。</p>

<p>訪問者が正しいページに最初から訪れることが出来れば直帰率は上がるはずです。</p>

<p>Webサイトに求められるのは訪問者の人数ではなく、正しい情報を伝えられるかのはずです。<br />
SStyleではHTMLの構造を正しく記載して、コンテンツと非コンテンツを明確に分けたうえで、Micro dataを埋め込み、検索エンジンにコンテンツの詳細を正しく伝えることで、検索エンジンの順位だけでなく、どのページにリンクされ、どのように掲載されるかを意識したSEOを盛り込みました。</p>

<p><a href=""http://www.w3.org/TR/microdata/"">http://www.w3.org/TR/microdata/</a></p>

<p>ページのコンテンツを気に入ってサイトをもっと見たいと思った人へは、あらゆるページから全てのページへ2クリック以内で到達できます。</p>","3","1","1","2015-08-12 21:00:00","","","","","","2015/09/00000006_eye_catch.jpg","2015-08-13 17:52:35","2015-09-01 21:25:25"
"14","1","7","Social network","<p>素晴らしいサイトにはTwitterやFacebook、LINEなどのSNSへの対応が必要不可欠です。</p>","<p>SStyleではソーシャルネットワークでの拡散に有利なOGPを出力します。<br />
Blogが共有された時はアイキャッチと詳細がついた状態で共有されます。</p>

<p>余分なコンテンツが省かれたページはSNSから訪れたユーザーを迷うことなくコンテンツへ導きます。<br />
PC向けとスマートフォン向けのURLが違っていて、PCユーザーにスマートフォンのサイトが共有されるようなこともありません。<br />
PC向けとスマートフォン向けのコンテンツも同じため、PCユーザーが見た情報をスマートフォンのユーザーが見えないということも発生しません。</p>","3","1","1","2015-08-12 21:00:00","","","","","","2015/08/00000007_eye_catch.jpg","2015-08-13 18:00:42","2015-08-17 02:50:59"
"15","1","8","Simple","<p>テーマだからこそ必要なシンプルさが有ります。<br />
それは見た目だけではありません。</p>","<p>SStyleはゼロから最小の物を厳選して追加したため、圧倒的にシンプルな構造が特徴的です。</p>

<p>それは訪問者への見た目だけではありません。</p>

<h1>サイト制作者に向けて</h1>

<p>テーマはそのまま使われることは殆ど無く、カスタマイズして独自のデザインを盛り込んで使用するはずです。<br />
そのためSStyleはカスタマイズしやすい最小限の構造で作成されています。</p>

<p>HTMLは見た目を整えるためだけにつけられたdivタグやtableタグを持たず、意味を持った最小限で構成されています。<br />
CSSは統一したデザインルールに基づき、おどろくほど短くまとめられています。<br />
使用されている画像ファイルは最小限で全て置き換え可能です。<br />
JavaScriptもMedia Queryも使用していません。</p>

<h2>divタグやtableタグを使わない理由</h2>
<p>見た目を整えるためにdivタグやtableタグを使うことは、HTMLに見た目の制約を持ち込むことを意味します。<br />
これを持たないSStyleはスタイルシートだけでほとんど別物のデザインに変更することが可能です。<br />
実サンプルとして、初期データにWhiteを用意しました。defaultとの違いはスタイルシートだけですが、大幅に見た目を変えることが出来ます。</p>

<h2>短いスタイルシート</h2>
<p>正しいHTMLで文章構造を記載し、文章構造に対して1:1に紐付いたデザインのルールを適用することでスタイルシートのコード量も少なくなっています。<br />
default、whiteともにスタイルシートの行数は200行未満です。すぐに修正する場所を見つけて全体のデザインを切り替えることが出来ます。</p>

<p>ボタンをスタイルシートで表現するなどにより使用する画像データを最小限に抑えています。</br>
これによりカスタマイズするために用意する必要がある画像データの数も最小限です。</p>

<p>JavaScriptやMediaQueryは便利ですが、サイトに「状態」を持ち込んでしまうためサイトをカスタマイズするときには正しくすべての状態を理解しておかないと、おもわぬ副作用が発生する場合があります。</p>

<p>そこでSStyleはMediaQueryやJavaScriptを使用せずに、正しいHTMLを用意し、環境依存のコードを持ち込まないことでレスポンシブデザインに対応させました。</p>

<p>このシンプルな構造のためJavaScriptやMediaQueryを追加したくなった時も、既存のコードとの相性を気にすることなく自由にカスタマイズすることが出来ます。</p>

<h1>サイト運営者にむけて</h1>

<p>お問い合せページを除く全てのページはBlogを元に構成されておりBlogの書き換えを覚えるだけでいつでもページのコンテンツを書き換えることが出来ます。<br />
あのページはこうやって書き換えて、このページはこうやって書き換えて・・・ とあれこれ覚える必要はありません。</p>

<p>管理画面ログイン中に公開ページを開いた時ツールバーの表示は最小となっており、実際の閲覧者に近い状態でページを確認することが出来ます。</p>
<p>各種管理操作を行いたいときは画面上部にカーソルを持っていくかタップしてください。</p>

<p>サイトの修正はスマートフォンを使って遠隔地で行うことも出来ます。</p>

<p>※固定ページの使用も可能です。固定ページを使用する場合は右上のシステムナビをご利用ください。</p>

<h1>サイト閲覧者に向けて</h1>

<p>ページを開くと一番最初に表示されるのがコンテンツです。そしてコンテンツを読み終わるとナビゲーションが表示されます。<br />
この構造がすべてのページで統一されています。<br />
ページは状態を持たないステートレスな構造で、行動と結果が常に1:1で結びつくようになっています。</p>","3","1","1","2015-08-12 20:30:00","","","","","","2015/09/00000008_eye_catch.jpg","2015-08-13 22:05:43","2015-09-01 21:23:06"
"16","1","9","Scale","<p>Retina？もちろん対応しています。</p>","<p>MacBookPro retinaやChromeBook Pixel、SurfacePro3など多くのコンピュータが高PPIのディスプレイを備えるようになりました。</p>

<p>さらにスマートフォンでは殆どの端末が高PPIのディスプレイに切り替わりました。<br />
そこで、SStyleでは高PPI端末に対応するために2つの取り組みを行っています。</p>

<h1>ビットマップの削減</h1>

<p>まずは徹底的にビットマップを減らしました。<br />
メニューのボタンや各項目はCSSによって表現され環境に依存せず美しい画面を描画できます。<br />
ロゴマークはSVGで描かれどこまで拡大しても滑らかです。</p>

<h1>SRCSET画像の対応</h1>

<p>次にアイキャッチ画像をRetinaに対応させました。<br />
アイキャッチをアップロードすると通常の画像に加えて4倍の解像度を持つ高精細なRetina用画像が生成されます。<br />
SRCSETの仕組みによりブラウザーがダウンロード時にどちらの画像を取得するかを選びます。</p>

<p>これにより、高精細なディスプレイではディスプレイを活かした高画質な画面で、通常の画面ではデータ転送量を抑えることが出来ます。</p>

<p>管理画面では積極的にWeb Fontを使ったドロー型アイコンを使用することで、よく使う多くの画面でRetinaに対応しました。<br />
&nbsp;</p>","3","1","1","2015-08-12 20:00:00","","","","","","2015/09/00000009_eye_catch.jpg","2015-08-14 01:41:46","2015-09-01 21:26:46"
"17","1","10","Speed","<p>最後に、SStyleは速度も犠牲にしません。</p>","<p>軽量なHTML、最低限のCSSとJavaScript、最小の画像によりSStyleではデータ転送量を抑えて画面の描画を高速化します。</p>

<p>フォントはMacとWindowsはデフォルトのフォントを使い、それ以外ではWebフォントを使っています。<br />
Webフォントは最初の読み込みに時間がかかりますが、その代わりに環境に依存せず美しい文字を表示することが出来ます。<br />
Google Fontの仕組みを使っているため複数のサイトでキャッシュが共有され、一度ダウンロードすると次からは高速に表示されます。</p>

<p>アニメーションは必要なときに必要な場所だけで使用しています。<br />
ユーザーを迷わせるただの飾りのアニメーションは使用していません。<br />
リンクの機能があるカード、検索用の入力フィールドにフォーカスがあたった時にアニメーションしてユーザーに対話可能なコンテンツであることを伝えます。<br />
アニメーションの速度はユーザーが関心があるコンテンツは0.2秒、関心を失ったコンテンツは0.4秒で戻ります。<br />
これは、日本語のはい、いいえという言葉の速度、そして英語のOK、Negativeという速度と一致します。</p>

<p>管理画面は無駄を削ぎ落したデザインでスピーディーなページ管理を可能としています。<br />
コンテンツはブログの仕組みを使ってすぐに編集できるので古い情報がいつまでも残ってしまうこともありません。</p>

<p>もちろんスマートフォンにも対応しているので外出先でコンテンツを修正することも可能です。</p>","3","1","1","2015-08-12 19:00:00","","","","","","2015/09/00000010_eye_catch.jpg","2015-08-14 01:45:59","2015-09-03 05:46:46"
